"Year","Team","Total_Cap","Cap_Space","Active","Reserves","Dead"
2011,"JAX",90618988,60756012,83637656,2998667,3691965
2011,"TB",87734299,56140701,81455451,NA,6181948
2011,"KC",104478066,39906934,102911884,750000,622382
2011,"DEN",109429914,36945086,95632160,NA,13797754
2011,"SEA",109313402,32161598,88541574,NA,20623628
2011,"DAL",107076393,30438607,90321660,NA,16657833
2011,"BUF",109501667,30163333,70042948,26395428,13063291
2011,"CIN",108789165,26585835,100319460,3388236,4790769
2011,"CLE",105417718,23937282,97444298,2250000,5529620
2011,"SF",115371935,21503065,107177164,NA,8000971
2011,"CHI",108187493,19927507,100826630,NA,7360863
2011,"NO",106227714,18367286,98262948,228000,7736766
2011,"TEN",113611327,14873673,107874324,NA,5737003
2011,"STL",109918844,13956156,106735081,812378,2080685
2011,"OAK",110663062,12711938,105625393,4111529,829240
2011,"NE",115253675,11781325,105061299,875000,8407702
2011,"WAS",122501899,11373101,100868212,8023038,13610649
2011,"GB",116059559,9515441,112648083,NA,3217676
2011,"BAL",120452189,5722811,106996060,8810982,3966847
2011,"PHI",125772322,5502678,118267572,525000,6495250
2011,"ARI",118509697,3865303,111028866,2610442,4781989
2011,"NYJ",124983441,3591559,114337718,NA,10645723
2011,"SD",117120555,3254445,105636496,9146666,2143593
2011,"IND",120760609,2114391,114200303,3527352,2936054
2011,"CAR",121912984,1262016,116797431,1776000,3339553
2011,"DET",122454221,-779221,120575367,575000,1303854
2011,"MIN",123853123,-1528123,111603701,9039666,2822156
2011,"HOU",122139328,-1764328,112947071,3097470,5997887
2011,"NYG",125052985,-3617985,121753387,288000,3011598
2011,"MIA",133065091,-3790091,113691396,NA,18889195
2011,"ATL",126208186,-5833186,116684491,5033886,4119309
2011,"PIT",128561003,-7680003,116070403,9143858,3346742
2012,"OAK",113918129,6681871,80345206,12507991,21064932
2012,"TEN",115654867,4945133,90842019,22099928,2712920
2012,"WAS",116425969,4174031,88980238,18915770,8142361
2012,"MIN",116838009,3761991,101904733,2843413,11508463
2012,"PHI",117414344,3185656,88815050,18998824,9406670
2012,"ARI",117797796,2802204,88769403,18922351,10106042
2012,"CIN",118185807,2414193,90863643,17574666,9553698
2012,"STL",118498574,2101426,95841642,8214158,13829074
2012,"NO",118502314,2097686,97362462,15131199,6008653
2012,"IND",121500398,-900398,75393533,9960100,36146765
2012,"GB",122110476,-1510476,106258073,11350672,4404831
2012,"MIA",122861011,-2261011,90041870,20500935,12090206
2012,"NYG",124971791,-4371791,113975692,6149446,4846653
2012,"PIT",125059129,-4459129,93010135,21450115,10419367
2012,"CHI",125651164,-5051164,109098054,11139899,5413211
2012,"SD",125987093,-5387093,94427351,21626950,9932792
2012,"HOU",126008450,-5408450,100750648,8310964,16761538
2012,"JAX",126080689,-5480689,95270155,21708958,8930951
2012,"SEA",126992530,-6392530,93341595,10661282,22989653
2012,"CLE",127133978,-6533978,103625309,16461897,7046772
2012,"CAR",127165126,-6565126,91167463,29857920,6139743
2012,"ATL",127681289,-7081289,103035944,16039478,8315167
2012,"NE",129555635,-8955635,102563402,7599569,19328664
2012,"BAL",129851198,-9251198,101262723,16511111,11616664
2012,"BUF",132480943,-11880943,79492678,31399020,21589245
2012,"NYJ",132815305,-12215305,102512003,24247707,6049895
2012,"DET",132860646,-12260646,115697825,16425593,737228
2012,"DAL",133052799,-12452799,98315939,9249450,25487410
2012,"DEN",133892694,-13292694,116387623,9020892,8484179
2012,"TB",137720452,-17120452,96004352,37352378,4363722
2012,"SF",139207508,-18607508,129631457,6575171,2225680
2012,"KC",143960224,-23360224,114132477,23760405,6067342
2013,"CLE",110066758,28145707,80881583,14954250,13777043
2013,"JAX",120190441,25972675,66805513,17227369,35388734
2013,"PHI",126997784,20416885,108049086,6646601,12059097
2013,"BUF",115151649,18626769,93306218,3370023,18337408
2013,"MIA",112354370,16972957,81123929,18186079,12900362
2013,"CAR",110901350,16435031,73225356,19388894,18215100
2013,"GB",120681853,11243878,100707865,16836700,3119288
2013,"TEN",127458573,8853340,110121914,4241818,12550074
2013,"CIN",127056245,7974686,92938874,25979949,8131422
2013,"TB",127714333,7597389,91995376,21097643,14407084
2013,"ARI",120046145,7517270,92369539,9185244,18449362
2013,"DEN",133459603,7405388,97160491,24747756,11515356
2013,"OAK",121159233,6627808,56659660,9161038,54996535
2013,"NE",124037085,6219259,84784241,22193915,16932929
2013,"SF",122183675,4693644,108616465,7843921,5256877
2013,"NYJ",122960176,4672561,80633014,18934169,23236993
2013,"DAL",116240089,4359067,72038158,27809946,16379985
2013,"SEA",133734928,4073197,101503464,23494782,8377388
2013,"SD",120452285,3665563,94062621,13860874,12298555
2013,"WAS",107385220,3301013,88700032,13195216,5291972
2013,"DET",119769257,2821760,95868619,8997466,14829672
2013,"HOU",123826813,2323913,77438733,39491632,6812448
2013,"MIN",128947738,1949746,117391509,7107396,3642189
2013,"ATL",122214225,1672075,89778071,15184383,17155771
2013,"NO",124062501,1660736,97705545,19949750,6214206
2013,"CHI",128429835,1583420,103159959,19028125,6199751
2013,"KC",136631412,1468615,114803016,2597567,19028711
2013,"PIT",125459344,67467,96309954,17925814,10959576
2013,"BAL",124106848,-124417,103969958,2598546,17514344
2013,"STL",124333057,-1062720,69722934,39407666,14665104
2013,"NYG",127517255,-2825971,92701902,25637548,8805805
2013,"IND",129046015,-3531741,98729480,18665904,10847687
2014,"JAX",129184374,22591120,87789968,19105599,21765907
2014,"CLE",135401214,21516542,97109089,17296800,20541725
2014,"NYJ",118345094,15764146,93006628,5903538,19245928
2014,"PHI",134781802,14518147,116673474,6940195,10210533
2014,"TEN",127601550,11304261,90812712,23583345,12688893
2014,"CIN",131642102,10021378,115809145,10023076,5142081
2014,"IND",123726021,9627074,95599118,21764072,5902931
2014,"MIA",142455998,8166415,104746850,29227784,8367964
2014,"GB",134037242,7783967,123610693,4306059,5477890
2014,"BAL",124870620,6715305,96142927,13372825,14865768
2014,"OAK",124442456,6465447,78110193,28068861,17835002
2014,"SEA",130443458,5423082,96775515,15255415,17977828
2014,"CAR",133399424,5275510,88019888,17737701,27093735
2014,"NE",134321836,4787215,109964588,5231767,18665581
2014,"SF",131507823,3975960,98126936,22767190,10210497
2014,"DAL",130227376,3647552,87696782,13811912,28302882
2014,"MIN",130020129,3515388,88042001,32663224,8766804
2014,"BUF",147684870,2899870,110273422,9570317,27015831
2014,"ATL",133009495,2734439,103552592,17767998,11065205
2014,"ARI",133228945,2626620,93308619,23877660,15708766
2014,"HOU",132043412,2419818,97907252,12584666,20990794
2014,"PIT",131947647,2300803,113996593,3980088,13435466
2014,"TB",137116892,2219889,94061905,28988412,13814575
2014,"KC",132717955,1750188,96516582,26434525,9407748
2014,"CHI",131432644,1574311,81640084,31089755,18280705
2014,"NO",131772234,1012683,101345281,13703053,16327000
2014,"SD",134236725,891116,94825621,22384694,16440510
2014,"STL",131027131,796398,91476742,30605636,8402953
2014,"DEN",135893026,356672,121215199,4408698,9683329
2014,"NYG",131935198,80748,84943487,34046962,12642349
2014,"DET",132391775,-169223,112293516,10101719,9379140
2014,"WAS",132411712,-750444,89595971,25880310,16633031
2015,"JAX",136130404,32355703,107546334,19001605,9582465
2015,"TEN",128662671,25690907,90472606,20323893,17866172
2015,"CLE",139647560,22119840,102057621,30535195,7054744
2015,"NYG",128321422,15090461,78694040,34027576,15599806
2015,"OAK",137071838,14800918,94352516,26030509,16688813
2015,"SF",136740459,13115521,74501722,33144637,29094100
2015,"TB",133567282,11342607,86632966,21628583,25305733
2015,"DAL",137816498,10761815,80128732,38468852,19218914
2015,"ATL",136236065,10012750,99720594,14045930,22469541
2015,"GB",141856037,9615069,125157906,11235334,5436397
2015,"PHI",150325196,9547182,123889910,7038928,19396358
2015,"IND",143402177,9021215,108214835,20924189,14263153
