"Year","Team","Win_perc","PF","PA"
2011,"New England Patriots",".813","513","342"
2011,"New York Jets",".500","377","363"
2011,"Miami Dolphins",".375","329","313"
2011,"Buffalo Bills",".375","372","434"
2011,"Baltimore Ravens",".750","378","266"
2011,"Pittsburgh Steelers",".750","325","227"
2011,"Cincinnati Bengals",".563","344","323"
2011,"Cleveland Browns",".250","218","307"
2011,"Houston Texans",".625","381","278"
2011,"Tennessee Titans",".563","325","317"
2011,"Jacksonville Jaguars",".313","243","329"
2011,"Indianapolis Colts",".125","243","430"
2011,"Denver Broncos",".500","309","390"
2011,"San Diego Chargers",".500","406","377"
2011,"Oakland Raiders",".500","359","433"
2011,"Kansas City Chiefs",".438","212","338"
2011,"New York Giants",".563","394","400"
2011,"Philadelphia Eagles",".500","396","328"
2011,"Dallas Cowboys",".500","369","347"
2011,"Washington Redskins",".313","288","367"
2011,"Green Bay Packers",".938","560","359"
2011,"Detroit Lions",".625","474","387"
2011,"Chicago Bears",".500","353","341"
2011,"Minnesota Vikings",".188","340","449"
2011,"New Orleans Saints",".813","547","339"
2011,"Atlanta Falcons",".625","402","350"
2011,"Carolina Panthers",".375","406","429"
2011,"Tampa Bay Buccaneers",".250","287","494"
2011,"San Francisco 49ers",".813","380","229"
2011,"Arizona Cardinals",".500","312","348"
2011,"Seattle Seahawks",".438","321","315"
2011,"St. Louis Rams",".125","193","407"
2012,"New England Patriots",".750","557","331"
2012,"Miami Dolphins",".438","288","317"
2012,"New York Jets",".375","281","375"
2012,"Buffalo Bills",".375","344","435"
2012,"Baltimore Ravens",".625","398","344"
2012,"Cincinnati Bengals",".625","391","320"
2012,"Pittsburgh Steelers",".500","336","314"
2012,"Cleveland Browns",".313","302","368"
2012,"Houston Texans",".750","416","331"
2012,"Indianapolis Colts",".688","357","387"
2012,"Tennessee Titans",".375","330","471"
2012,"Jacksonville Jaguars",".125","255","444"
2012,"Denver Broncos",".813","481","289"
2012,"San Diego Chargers",".438","350","350"
2012,"Oakland Raiders",".250","290","443"
2012,"Kansas City Chiefs",".125","211","425"
2012,"Washington Redskins",".625","436","388"
2012,"New York Giants",".563","429","344"
2012,"Dallas Cowboys",".500","376","400"
2012,"Philadelphia Eagles",".250","280","444"
2012,"Green Bay Packers",".688","433","336"
2012,"Minnesota Vikings",".625","379","348"
2012,"Chicago Bears",".625","375","277"
2012,"Detroit Lions",".250","372","437"
2012,"Atlanta Falcons",".813","419","299"
2012,"Carolina Panthers",".438","357","363"
2012,"New Orleans Saints",".438","461","454"
2012,"Tampa Bay Buccaneers",".438","389","394"
2012,"San Francisco 49ers",".719","397","273"
2012,"Seattle Seahawks",".688","412","245"
2012,"St. Louis Rams",".469","299","348"
2012,"Arizona Cardinals",".313","250","357"
2013,"New England Patriots",".750","444","338"
2013,"New York Jets",".500","290","387"
2013,"Miami Dolphins",".500","317","335"
2013,"Buffalo Bills",".375","339","388"
2013,"Cincinnati Bengals",".688","430","305"
2013,"Pittsburgh Steelers",".500","379","370"
2013,"Baltimore Ravens",".500","320","352"
2013,"Cleveland Browns",".250","308","406"
2013,"Indianapolis Colts",".688","391","336"
2013,"Tennessee Titans",".438","362","381"
2013,"Jacksonville Jaguars",".250","247","449"
2013,"Houston Texans",".125","276","428"
2013,"Denver Broncos",".813","606","399"
2013,"Kansas City Chiefs",".688","430","305"
2013,"San Diego Chargers",".563","396","348"
2013,"Oakland Raiders",".250","322","453"
2013,"Philadelphia Eagles",".625","442","382"
2013,"Dallas Cowboys",".500","439","432"
2013,"New York Giants",".438","294","383"
